trial_id,soft_combat,soft_collect,soft_explore,delta_combat,delta_collect,delta_explore,mlp_output,target_multiplier,multiplier_clamped
13429,0.25,0.6,0.15,0,-1,1,0.8121554705094154,0.7611089410188308,false
13430,0.25,0.6,0.15,0,-0.5,-1,0.9295155505100983,0.9958291010201965,false
13431,0.25,0.6,0.15,0,-0.5,-0.5,0.8586542345328578,0.8541064690657156,false
13432,0.25,0.6,0.15,0,-0.5,0,0.9076538434041675,0.9521056868083351,false
13433,0.25,0.6,0.15,0,-0.5,0.5,0.892003520930349,0.9208050418606979,false
13434,0.25,0.6,0.15,0,-0.5,1,0.7560577320985589,0.6489134641971177,false
13435,0.25,0.6,0.15,0,0,-1,0.9765384326011466,1.0898748652022932,false
13436,0.25,0.6,0.15,0,0,-0.5,0.8911080632221821,0.9190141264443641,false
13437,0.25,0.6,0.15,0,0,0,0.9013147247683484,0.9394274495366968,false
13438,0.25,0.6,0.15,0,0,0.5,0.832998949105479,0.802795898210958,false
13439,0.25,0.6,0.15,0,0,1,0.6625607844410046,0.6,true
13440,0.25,0.6,0.15,0,0.5,-1,1.0561990637265877,1.2491961274531753,false
13441,0.25,0.6,0.15,0,0.5,-0.5,0.9073780213616376,0.9515540427232752,false
13442,0.25,0.6,0.15,0,0.5,0,0.8126353243175889,0.7620686486351778,false
13443,0.25,0.6,0.15,0,0.5,0.5,0.6702934165650939,0.6,true
13444,0.25,0.6,0.15,0,0.5,1,0.5500902636474118,0.6,true
13445,0.25,0.6,0.15,0,1,-1,1.0600121857097167,1.2568223714194333,false
13446,0.25,0.6,0.15,0,1,-0.5,0.8693502471405086,0.8754984942810171,false
13447,0.25,0.6,0.15,0,1,0,0.6145313820798622,0.6,true
13448,0.25,0.6,0.15,0,1,0.5,0.4719035907898375,0.6,true
13449,0.25,0.6,0.15,0,1,1,0.3783481290619125,0.6,true
13450,0.25,0.6,0.15,0.5,-1,-1,0.9786639506528245,1.094125901305649,false
13451,0.25,0.6,0.15,0.5,-1,-0.5,0.9368198163785745,1.010437632757149,false
13452,0.25,0.6,0.15,0.5,-1,0,0.9543512128050461,1.0455004256100922,false
13453,0.25,0.6,0.15,0.5,-1,0.5,0.9270691763445076,0.9909363526890151,false
13454,0.25,0.6,0.15,0.5,-1,1,0.8590924330088109,0.8549828660176217,false
13455,0.25,0.6,0.15,0.5,-0.5,-1,0.9873328594482298,1.1114637188964596,false
13456,0.25,0.6,0.15,0.5,-0.5,-0.5,0.9598051397333958,1.0564082794667915,false
13457,0.25,0.6,0.15,0.5,-0.5,0,0.9706430874206414,1.0780841748412828,false
13458,0.25,0.6,0.15,0.5,-0.5,0.5,0.9488971390583043,1.0345922781166086,false
13459,0.25,0.6,0.15,0.5,-0.5,1,0.8578594208703116,0.8525168417406233,false
13460,0.25,0.6,0.15,0.5,0,-1,1.040793840687142,1.218385681374284,false
13461,0.25,0.6,0.15,0.5,0,-0.5,0.94217797750824,1.0211539550164799,false
13462,0.25,0.6,0.15,0.5,0,0,0.9501515364698901,1.0371010729397803,false
13463,0.25,0.6,0.15,0.5,0,0.5,0.9292500808888599,0.9952981617777197,false
13464,0.25,0.6,0.15,0.5,0,1,0.7705260688200974,0.6778501376401949,false
13465,0.25,0.6,0.15,0.5,0.5,-1,1.0347305200483359,1.2062590400966717,false
13466,0.25,0.6,0.15,0.5,0.5,-0.5,0.9581937511786014,1.0531855023572028,false
13467,0.25,0.6,0.15,0.5,0.5,0,0.8390480246551664,0.8148940493103327,false
13468,0.25,0.6,0.15,0.5,0.5,0.5,0.7346717539059193,0.6061415078118386,false
13469,0.25,0.6,0.15,0.5,0.5,1,0.6439797311421743,0.6,true
13470,0.25,0.6,0.15,0.5,1,-1,0.9763619026253054,1.0895218052506108,false
13471,0.25,0.6,0.15,0.5,1,-0.5,0.8963100214761194,0.9294180429522387,false
13472,0.25,0.6,0.15,0.5,1,0,0.6545448135672987,0.6,true
13473,0.25,0.6,0.15,0.5,1,0.5,0.4266521474003964,0.6,true
13474,0.25,0.6,0.15,0.5,1,1,0.3439824776601872,0.6,true
13475,0.25,0.6,0.15,1,-1,-1,1.0515084692572787,1.2398149385145574,false
13476,0.25,0.6,0.15,1,-1,-0.5,1.003331288844862,1.143460577689724,false
13477,0.25,0.6,0.15,1,-1,0,0.9746804900380797,1.0861589800761593,false
13478,0.25,0.6,0.15,1,-1,0.5,0.9683032173439358,1.0734044346878715,false
13479,0.25,0.6,0.15,1,-1,1,0.9094996115885245,0.9557972231770491,false
13480,0.25,0.6,0.15,1,-0.5,-1,1.0726900581496446,1.2821781162992891,false
13481,0.25,0.6,0.15,1,-0.5,-0.5,1.0802980759463663,1.2973941518927326,false
13482,0.25,0.6,0.15,1,-0.5,0,1.0463121201317926,1.2294222402635853,false
13483,0.25,0.6,0.15,1,-0.5,0.5,1.0291206763276546,1.1950393526553091,false
13484,0.25,0.6,0.15,1,-0.5,1,0.9518691156417916,1.040536231283583,false
13485,0.25,0.6,0.15,1,0,-1,1.0678893870760164,1.2725767741520329,false
13486,0.25,0.6,0.15,1,0,-0.5,1.0176068479282758,1.1720116958565516,false
13487,0.25,0.6,0.15,1,0,0,1.0322030366558057,1.2012040733116114,false
13488,0.25,0.6,0.15,1,0,0.5,1.0126076767362746,1.1620133534725492,false
13489,0.25,0.6,0.15,1,0,1,0.901546920694459,0.9398918413889179,false
13490,0.25,0.6,0.15,1,0.5,-1,1.0377879013537077,1.2123738027074153,false
13491,0.25,0.6,0.15,1,0.5,-0.5,0.9570504559839362,1.0508989119678724,false
13492,0.25,0.6,0.15,1,0.5,0,0.8547348185507754,0.8462676371015507,false
13493,0.25,0.6,0.15,1,0.5,0.5,0.7607991509703667,0.6583963019407333,false
13494,0.25,0.6,0.15,1,0.5,1,0.719832623152703,0.6,true
13495,0.25,0.6,0.15,1,1,-1,1.0058034202387798,1.1484048404775595,false
